concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.01,0.03,0.05,0.0123,0.22,1.0629,320.29
0.03,0.01,0.00000008,0.0123,0.16,1.1183,320.26
0.02,0.01,0.00000008,0.0123,0.21,1.1036,320.21
0.00000163,0.04,0.00000009,0.0123,0.14,1.0685,313.87
0.02,0.02,0.00000008,0.0123,0.2,1.1177,322.48
0.015,0.01,0.00000008,0.0123,0.35,1.0986,319.51
0.00000163,0.0004,0.00000008,0.0123,0.14,1.0294,288.58
0.03,0.02,0.05,0.0123,0.25,1.1355,322.82
0.01,0.0004,0.00000009,0.0123,0.18,1.0306,308.97
0.03,0.02,0.07,0.0123,0.25,1.1344,322.73
0.015,0.05,0.00000008,0.0123,0.21,1.1347,325.62
0.005,0.02,0.00000008,0.0123,0.06,1.0688,317.86
0.00000163,0.02,0.01,0.0123,0.22,1.0707,308.62
0.02,0.03,0.07,0.0123,0.26,1.1418,323.76
0.01,0.0004,0.04,0.0123,0.18,1.0296,308.04
0.025,0.04,0.00000009,0.0123,0.28,1.1449,325.69
0.025,0.1,0.00000008,0.0123,0.21,1.1701,328.06
0.00000163,0.03,0.00000008,0.0123,0.24,1.057,310.81
0.01,0.04,0.00000008,0.0123,0.21,1.0875,322.69
0.00000163,0.11,0.04,0.0123,0.23,1.09,316.52
0.00000163,0.01,0.00000007,0.0123,0.14,1.0306,303.89
0.035,0.02,0.00000008,0.0123,0.16,1.1354,323.46
0.02,0.03,0.03,0.0123,0.16,1.1391,323.51
0.02,0.03,0.08,0.0123,0.27,1.1337,327.43
0.045,0.02,0.00000008,0.0123,0.14,1.138,324.13
0.01,0.0004,0.00000008,0.0123,0.26,1.0293,308.53
0.01,0.02,0.00000008,0.0123,0.25,1.0747,319.86
0.00000163,0.1,0.02,0.0123,0.19,1.106,317.51
0.04,0.03,0.00000008,0.0123,0.16,1.1459,325.2
0.02,0.02,0.00000008,0.0123,0.3,1.1053,321.65
0.005,0.0004,0.00000008,0.0123,0.1,1.0307,306.28
0.00000163,0.01,0.00000007,0.0123,0.14,1.0306,303.89
0.00000163,0.01,0.00000008,0.0123,0.16,1.0294,303.84
0.05,0.0004,0.04,0.0123,0.26,1.0836,317.12
0.00000163,0.04,0.00000008,0.0123,0.02,1.0754,314.36
0.01,0.06,0.00000008,0.0123,0.21,1.0986,324.58
0.06,0.04,0.00000008,0.0123,0.19,1.1568,327.01
0.00000163,0.05,0.11,0.0123,0.22,1.0851,312.62
0.02,0.01,0.00000008,0.0123,0.21,1.1025,320.14
0.00000163,0.0004,0.00000009,0.0123,0.18,1.0306,288.59
0.025,0.01,0.00000008,0.0123,0.14,1.1165,320.23
0.04,0.01,0.02,0.0123,0.23,1.1268,321.7
0.005,0.02,0.00000008,0.0123,0.32,1.0675,318.87
0.00000163,0.07,0.00000009,0.0123,0.26,1.0949,317.55
0.005,0.01,0.00000008,0.0123,0.14,1.0573,315.51
0.01,0.02,0.00000008,0.0123,0.24,1.0739,319.84
0.00000163,0.01,0.00000007,0.0123,0.2,1.0306,303.84
0.00000163,0.02,0.00000009,0.0123,0.2,1.0306,307.75
0.00000163,0.07,0.00000008,0.0123,0.26,1.0948,317.49
0.00000163,0.02,0.00000008,0.0123,0.5,1.0726,309.01
0.01,0.06,0.00000008,0.0123,0.22,1.1014,324.36
0.005,0.06,0.00000008,0.0123,0.16,1.1019,323.91
0.05,0.04,0.01,0.0123,0.27,1.0893,325.71
0.015,0.02,0.00000008,0.0123,0.25,1.1128,322.2
0.015,0.05,0.00000008,0.0123,0.24,1.1353,325.73
0.04,0.02,0.00000008,0.0123,0.15,1.1219,323.3
0.02,0.03,0.00000009,0.0123,0.22,1.1272,323.56
0.02,0.04,0.00000009,0.0123,0.22,1.1346,324.85
0.07,0.06,0.00000008,0.0123,0.22,1.1584,328.47
0.04,0.02,0.02,0.0123,0.22,1.0659,323.13
0.03,0.03,0.00000008,0.0123,0.18,1.1385,324.52
0.02,0.0004,0.09,0.0123,0.24,1.0777,316.89
0.025,0.02,0.00000008,0.0123,0.22,1.1304,322.81
0.01,0.02,0.00000008,0.0123,0.24,1.0753,319.88
0.05,0.1,0.01,0.0123,0.21,1.1734,329.86
0.02,0.06,0.00000008,0.0123,0.12,1.1435,326.18
0.03,0.01,0.02,0.0123,0.19,1.105,320.84
0.00000163,0.1,0.00000008,0.0123,0.2,1.0954,319.29
0.025,0.01,0.00000009,0.0123,0.24,1.1159,320.88
0.01,0.0004,0.02,0.0123,0.15,1.0355,310.96
0.04,0.0004,0.02,0.0123,0.27,1.0858,314.82
0.005,0.06,0.00000009,0.0123,0.12,1.1031,323.22
0.005,0.0004,0.00000008,0.0123,0.24,1.0294,305.97
0.05,0.0004,0.03,0.0123,0.21,1.0954,314.88
0.00000163,0.06,0.00000008,0.0123,0.13,1.0874,316.1
0.05,0.03,0.06,0.0123,0.21,1.0901,325.09
0.05,0.01,0.00000008,0.0123,0.2,1.1243,322.2
0.045,0.0004,0.00000008,0.0123,0.28,1.1014,317.14
0.00000163,0.0004,0.00000007,0.0123,0.22,1.0306,288.57
0.00000163,0.06,0.00000008,0.0123,0.26,1.0994,316.91
0.04,0.04,0.01,0.0123,0.19,1.165,326.33
0.04,0.05,0.03,0.0123,0.17,1.0957,325.39
0.02,0.02,0.00000008,0.0123,0.08,1.114,321.75
0.035,0.0004,0.00000008,0.0123,0.35,1.0866,316.33
0.06,0.0004,0.02,0.0123,0.2,1.0851,322.9
0.01,0.0004,0.00000008,0.0123,0.18,1.0717,314.32
0.00000163,0.03,0.06,0.0123,0.25,1.0334,310.13
0.00000163,0.01,0.00000009,0.0123,0.08,1.0308,304.02
0.01,0.03,0.00000008,0.0123,0.15,1.0765,321.28
0.00000163,0.04,0.01,0.0123,0.31,1.09,313.91
0.01,0.09,0.00000008,0.0123,0.24,1.1141,326.21
0.00000163,0.01,0.00000008,0.0123,0.14,1.0294,303.82
0.00000163,0.05,0.01,0.0123,0.23,1.0927,314.28
0.02,0.02,0.00000008,0.0123,0.18,1.1168,322.39
0.015,0.05,0.00000008,0.0123,0.12,1.1348,324.82
0.03,0.03,0.00000008,0.0123,0.22,1.1393,324.67
0.00000163,0.05,0.00000008,0.0123,0.2,1.0808,315.12
0.00000163,0.06,0.00000008,0.0123,0.26,1.0858,316.19
0.00000163,0.02,0.02,0.0123,0.27,1.075,305.19
0.06,0.05,0.04,0.0123,0.22,1.1675,329.82
0.025,0.04,0.00000008,0.0123,0.2,1.1469,325.57
0.005,0.05,0.00000008,0.0123,0.18,1.0986,323.16
0.00000163,0.04,0.00000008,0.0123,0.55,1.0844,313.02
0.01,0.04,0.00000008,0.0123,0.16,1.1165,323.52
0.01,0.03,0.00000007,0.0123,0.21,1.0853,321.47
0.02,0.0004,0.03,0.0123,0.25,1.0799,311.57
0.025,0.04,0.00000008,0.0123,0.18,1.1429,325.44
0.00000163,0.02,0.00000008,0.0123,0.21,1.0294,306.91
0.03,0.0004,0.04,0.0123,0.25,1.0894,318.26
0.00000163,0.09,0.00000008,0.0123,0.22,1.115,319.24
0.00000163,0.0004,0.0000001,0.0123,0.16,1.0306,288.6
0.02,0.04,0.07,0.0123,0.2,1.1411,324.42
